id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,stats,tags,description
6733901,3451539391,Musée de la Poterie,1-13,Rue du Terrain,67116,Reichstett,France,fr,open,48.6480723,7.7520884,,,,2002,payant:4007;gratuit:1216,label:musee de france,
6822406,,Musée du Sapeur Pompier,,,,MULHOUSE,France,fr,closed,,,,,,2002,payant:0;gratuit:0,label:musee de france,
2405501,4119820065,Château de Bourdeilles,,Rue du Vieux Moulin,24310,Bourdeilles,France,fr,open,45.3222039,0.5867267,,,,2002,payant:30343;gratuit:0,label:musee de france,
2415201,4364598320,Musée Paul Reclus,,Rue Paul Reclus,24250,Domme,France,fr,open,44.8028038,1.2138053,,,,2002,payant:19210;gratuit:0,label:musee de france,
2431101,,Musée Départemental de la Poupée et du Jouet,,,,NONTRON,France,fr,closed,,,,,,2002,payant:0;gratuit:0,label:musee de france,
2452002,,Musée de Sarlat et du Périgord Noir,,,,SARLAT-LA-CANEDA,France,fr,closed,,,,,,2002,payant:0;gratuit:0,label:musee de france,
3306701,,Musée de la Voiture à Cheval,,,,BOURG-SUR-GIRONDE,France,fr,open,,,,,,2002,payant:4139;gratuit:0,label:musee de france,
4028601,5681725229,Musée de la Faïence et des arts de la table,,Route d'Hagetmau,40320,Samadet,France,fr,open,43.6412514,-0.5106808,,,,2002,payant:5621;gratuit:2765,label:musee de france,
4700101,,Musée des Beaux-Arts,,,,AGEN,France,fr,open,,,,,,2002,payant:6116;gratuit:9530,label:musee de france,
6416001,209763123,Musée Edmond Rostand,,Avenue du Docteur Alexandre Camino,64250,Larressore,France,fr,open,43.36763065,-1.422666450245681,,,,2002,payant:65608;gratuit:0,label:musee de france,
0304801,,Musée Charles-Louis Philippe,,,,CERILLY,France,fr,open,,,,,,2002,payant:165;gratuit:0,label:musee de france,
0311801,387245355,Musée Municipal de Gannat,,Esplanade Pierre-Roch-Jurien-de-la-Gravière,03800,Gannat,France,fr,open,46.10151045,3.1965522151680728,,,,2002,payant:1190;gratuit:438,label:musee de france,
4307001,4398955697,Musée de Paléontologie,,Rue du Château,43380,Chilhac,France,fr,open,45.1559183,3.4375593,,,,2002,payant:3074;gratuit:0,label:musee de france,
4311701,,Musée des Arts et Traditions Populaires de Haute Loire,,,,LAVAUDIEU,France,fr,open,,,,,,2002,payant:13768;gratuit:680,label:musee de france,
6311303,67552132,Muséum d'Histoire Naturelle Henri-Lecoq,15,Rue Bardoux,63000,Clermont-Ferrand,France,fr,open,45.774145950000005,3.0884366874758022,,,,2002,payant:2454;gratuit:16463;label-date:06/01/2002,label:musee de france,
