id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,email,year,stats,tags,description,wikidata,museofile,mhs
6702101,79550929,Musée de la Folie Marco,,Rue du Docteur Sultzer,67140,Barr,France,fr,open,48.410266199999995,7.4511442216483434,,,,,2003,payant:2548;gratuit:1139;total:3687;label-date:01/02/2003,label:musee de france,,,,
6718001,48609011,Musée Historique,,Rue du Sel,67500,Haguenau,France,fr,open,48.81306145,7.791507522753506,,,,,2003,payant:5680;gratuit:0;total:5680;label-date:01/02/2003,label:musee de france,,,,
6737201,158554855,Musée de l'Image Populaire de Pfaffenhoffen,,Rue du Docteur Albert Schweitzer,67350,Haguenau-Wissembourg,France,fr,open,48.84483,7.6115728636419755,,,,,2003,payant:2388;gratuit:1324;total:3712;label-date:2002-09-07 00:00:00,label:musee de france,,,,
6738801,,Musée du Fer,,,,REICHSHOFFEN,France,fr,open,,,,,,,2003,payant:1614;gratuit:0;total:1614;label-date:01/02/2003,label:musee de france,,,,
6748206,491674514,Musée de l'Œuvre Notre-Dame,,Rue du Dévidoir,67065,Strasbourg,France,fr,open,48.580848200000005,7.751242401547248,,,,,2003,payant:16369;gratuit:21448;total:37817;label-date:01/02/2003,label:musee de france,,,,
6748208,239813123,Musée Alsacien,23,Quai Saint-Nicolas,67065,Strasbourg,France,fr,open,48.5791319,7.7506043,,,,,2003,payant:26307;gratuit:25357;total:51664;label-date:01/02/2003,label:musee de france,,,,
6800401,5144762817,Musee de Sapeur-Pompier d'Alsace,38,Rue de Luppach,68480,Vieux-Ferrette,France,fr,open,47.5040397,7.3041592,http://www.musee-sapeur-pompier.fr,+33 6 11 68 75 13,,info@sundgau-sudalsace.fr,2003,payant:1970;gratuit:8906;total:10876;label-date:01/02/2003,label:musee de france,,,M0038,
6806301,6211249261,Musée de la Porte de Thann,,Rue Haffner,68700,Cernay,France,fr,closed,47.8099726,7.1731847,,,,,2003,payant:0;gratuit:0;total:;label-date:01/02/2003,label:musee de france,,,,
6806601,1265125753,Musée d'Unterlinden,,Place Unterlinden,68000,Colmar,France,fr,open,48.0798635,7.3555565,,,,,2003,payant:183328;gratuit:28894;total:212222;label-date:01/02/2003,label:musee de france,,,,
6806602,47577843,Musée d'Histoire Naturelle et d'Ethnographie de Colmar,,Cour,68000,Colmar,France,fr,open,48.07362435,7.358821938150863,,,,,2003,payant:2433;gratuit:3770;total:6203;label-date:01/02/2003,label:musee de france,,,,
6811201,70325197,Musée du Florival,1,Rue du 4 Février,68500,Guebwiller,France,fr,open,47.90581675,7.215371294817073,,,,,2003,payant:3575;gratuit:2485;total:6060;label-date:01/02/2003,label:musee de france,,,,
6814901,,Musée Historique et Militaire de Huningue,,,,HUNINGE,France,fr,open,,,,,,,2003,payant:405;gratuit:0;total:405;label-date:01/02/2003,label:musee de france,,,,
6823101,6795990385,Musée Vauban,,Place de la Porte de Belfort,68600,Neuf-Brisach,France,fr,open,48.0153387,7.526694,,,,,2003,payant:2986;gratuit:0;total:2986;label-date:01/02/2003,label:musee de france,,,,
6827801,1936849476,Musée du Papier Peint,28,Rue Zuber,68170,Rixheim,France,fr,open,47.7444268,7.3972851,,,,,2003,payant:7336;gratuit:4965;total:12301;label-date:01/02/2003,label:musee de france,,,,
2406401,5089643323,Musée Fernand Desmoulin,,Boulevard Charlemagne,24310,Nontron,France,fr,open,45.3641641,0.6468008,,,,,2003,payant:11020;gratuit:1489;total:12509;label-date:01/02/2003,label:musee de france,,,,
3339401,4870482921,Les Palais Cardinal,,Place du 11 Novembre 1918,33330,Saint-Émilion,France,fr,closed,44.8959729,-0.1551283,,,,,2003,payant:0;gratuit:0;total:;label-date:01/02/2003,label:musee de france,,,,
4004601,1508590127,Musée Historique de l'Hydravion,,Rue Louis Bréguet,40600,Biscarrosse,France,fr,open,44.3892176,-1.1816658,,,,,2003,payant:9093;gratuit:1414;total:10507;label-date:01/02/2003,label:musee de france,,,,
4012001,250016053,Abbaye d'Arthous,,Route de l'Abbaye,40300,Hastingues,France,fr,open,43.527247,-1.122068373792949,http://arthous.landes.fr/,+33 5 58 73 03 89,,,2003,payant:567;gratuit:225;total:792;label-date:01/02/2003,label:musee de france;label:monuments-historiques;type:monument-historique,,Q2820503,M0078,PA00083954
4016701,,Atelier-Musée  (Ecomusée de la Grande Landes),,,,LUXEY,France,fr,open,,,,,,,2003,payant:7519;gratuit:0;total:7519;label-date:01/02/2003,label:musee de france,,,,
4028701,26246232,Allée du Musée,,Allée du Musée,40460,Sanguinet,France,fr,open,44.4825995,-1.0754788,,,,,2003,payant:1864;gratuit:118;total:1982;label-date:01/02/2003,label:musee de france,,,,
6424901,71287357,Musée Saraléguinéa,165,Avenue du Général de Gaulle,64210,Guéthary,France,fr,open,43.4210745,-1.6090083003559483,https://www.musee-de-guethary.fr,+33 5 59 54 86 37,,contact@musee-de-guethary.fr,2003,payant:442;gratuit:2142;total:2584;label-date:01/02/2003,label:musee de france;label:monuments-historiques;type:monument-historique,,Q22975788,,PA00132937
6444503,6815484814,Musée,,Rue Mathieu Lalanne,64000,Pau,France,fr,open,43.2977315,-0.3645267,,,,,2003,payant:52731;gratuit:30365;total:83096;label-date:06/01/2002,label:musee de france,,,,
6444501,,Musée Municipal des Beaux-Arts,,,,PAU,France,fr,open,,,,,,,2003,payant:11423;gratuit:11089;total:22512;label-date:01/02/2003,label:musee de france,,,,
0311801,387245355,Musée Yves-Machelon,,Esplanade Pierre-Roch-Jurien-de-la-Gravière,03800,Gannat,France,fr,open,46.10151045,3.1965522151680728,,,,,2003,payant:1368;gratuit:300;total:1668;label-date:01/02/2003,label:musee de france,,,,
1516801,6838400485,La Prade Haute,,,15320,Ruynes-en-Margeride,France,fr,open,44.9961982,3.207524,,,,,2003,payant:15348;gratuit:808;total:16156;label-date:01/02/2003,label:musee de france,,,,
4316201,,Musée des Manufactures de Dentelles,,,,RETOURNAC,France,fr,open,,,,,,,2003,payant:2670;gratuit:1069;total:3739;label-date:22/04/2002,label:musee de france,,,,
2142501,702303764,Musée Buffon,,Rue du Parc Buffon,21500,Montbard,France,fr,closed,47.6255801,4.3367165,,,,,2003,payant:0;gratuit:0;total:;label-date:01/02/2003,label:musee de france,,,,
2146401,4737197736,Musée Municipal,,Rue Camille Rodier,21700,Nuits-Saint-Georges,France,fr,open,47.1386701,4.9505695,,,,,2003,payant:493;gratuit:2184;total:2677;label-date:01/02/2003,label:musee de france,,,,
5806202,3618004518,Musée du Septennat de François Mitterrand,,Place du Château,58120,Château-Chinon (Ville),France,fr,open,47.0672537,3.9351818,http://www.mitterrand.org/Chateau-Chinon-Musee-du-Septennat.html,+33 3 86 85 19 23,,,2003,payant:5076;gratuit:683;total:5759;label-date:01/02/2003,label:musee de france,,Q979000,M0149,
5807901,2627307760,Musée d'Art et d'Histoire Romain Rolland,,Avenue de la République,58500,Clamecy,France,fr,open,47.4603634,3.5204872,,,,,2003,payant:1570;gratuit:2491;total:4061;label-date:01/02/2003,label:musee de france,,,,
5819403,339392015,Musée du Palais Ducal,,Rue des Ouches,58000,Nevers,France,fr,open,46.9882494,3.1580768,,,,,2003,payant:83;gratuit:1400;total:1483;label-date:01/02/2003,label:musee de france,,,,
5821501,,Musée Ernest Guédon,,,,POUILLY-SUR-LOIRE,France,fr,closed,,,,,,,2003,payant:0;gratuit:0;total:;label-date:01/02/2003,label:musee de france,,,,
5822701,,Musée du Grès de Puisaye,,,,SAINT-AMAND-EN-PUISAYE,France,fr,open,,,,,,,2003,payant:2388;gratuit:566;total:2954;label-date:01/02/2003,label:musee de france,,,,
7101404,223582725,Allée Jacques de la Comble,,Allée Jacques de la Comble,71400,Autun,France,fr,open,46.9499423,4.3172422,,,,,2003,payant:593;gratuit:2789;total:3382;label-date:06/01/2002,label:musee de france,,,,
7110601,7419064524,Musée René Davoine,32,Rue René Davoine,71120,Charolles,France,fr,open,46.4312242,4.2732669,,,,,2003,payant:139;gratuit:360;total:499;label-date:01/02/2003,label:musee de france,,,,
7110602,2239784876,Musée du Prieuré de Charolles,4,Rue du Prieuré,71120,Charolles,France,fr,open,46.4323423,4.2799145,,,,,2003,payant:2352;gratuit:1055;total:3407;label-date:01/02/2003,label:musee de france,,,,
7126301,372835947,Rue du Musée,,Rue du Musée,71440,Thurey,France,fr,open,46.7430242,5.1227339,,,,,2003,payant:2494;gratuit:409;total:2903;label-date:01/02/2003,label:musee de france,,,,
7127002,700244362,Musée Lamartine,,Rue des Ursulines,71000,Saint-Clément,France,fr,open,46.307027,4.833142197130883,,,,,2003,payant:1819;gratuit:1766;total:3585;label-date:01/02/2003,label:musee de france,,,,
7135101,3617522815,Pierre-de-Bresse,,Rue du Château,71270,Pierre-de-Bresse,France,fr,open,46.8828547,5.2614005,,3631,,,2003,payant:23830;gratuit:8172;total:32002;label-date:01/02/2003,label:musee de france,,,,
7137301,7419064525,Musée du Terroir,,Rue des Quartiers,71470,Romenay,France,fr,open,46.503251,5.067591,,,,,2003,payant:80;gratuit:0;total:80;label-date:01/02/2003,label:musee de france,,,,
7154301,7419064527,Hôtel Dieu - Musée Greuze,,Rue de l'Hôpital,71700,Tournus,France,fr,open,46.5619544,4.9109248,,,,,2003,payant:9449;gratuit:2311;total:11760;label-date:01/02/2003,label:musee de france,,,,
