id,osm_id,name,city,country,country_code,status,year,stats,tags
6718001,,Musée Historique,HAGUENAU,France,fr,open,2007,payant:2501;gratuit:3351;total:5852;mdf-date:01/02/2003,label:musee de france
6748207,,Musée Historique,STRASBOURG,France,fr,open,2007,payant:16263;gratuit:33102;total:49365;mdf-date:01/02/2003,label:musee de france
6748209,,Musée d'Art Moderne et Contemporain de Strasbourg,STRASBOURG,France,fr,open,2007,payant:38379;gratuit:84672;total:123051;mdf-date:01/02/2003,label:musee de france
6753801,,Musée Lalique,WINGEN-SUR-MODER,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:2007-03-15 00:00:00,label:musee de france
6754401,,Musée Westercamp,WISSEMBOURG,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
6755001,,Musée de la Bataille du 6 Août 1870,WOERTH,France,fr,open,2007,payant:2555;gratuit:729;total:3284;mdf-date:01/02/2003,label:musee de france
6806602,,Musée d'Histoire Naturelle et d'Ethnographie de Colmar,COLMAR,France,fr,open,2007,payant:7236;gratuit:5649;total:12885;mdf-date:01/02/2003,label:musee de france
6822401,,Musée des Beaux-Arts,MULHOUSE,France,fr,open,2007,payant:0;gratuit:14595;total:14595;mdf-date:01/02/2003,label:musee de france
6822404,,Musée EDF Electropolis,MULHOUSE,France,fr,open,2007,payant:29464;gratuit:7137;total:36601;mdf-date:01/02/2003,label:musee de france
2406401,,Musée Fernand Desmoulin,BRANTOME,France,fr,open,2007,payant:15822;gratuit:8813;total:24635;mdf-date:01/02/2003,label:musee de france
2452001,,Musée-Aquarium,CREYSSE,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
3305801,,Musée d'Art et d'Histoire du Pays Blayais,BLAYE,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
3306304,,Musée d'Aquitaine,BORDEAUX,France,fr,open,2007,payant:10668;gratuit:82993;total:93661;mdf-date:06/01/2002,label:musee de france
3306305,,Muséum d'Histoire Naturelle de Bordeaux,BORDEAUX,France,fr,open,2007,payant:8810;gratuit:59770;total:68580;mdf-date:01/02/2003,label:musee de france
3306303,,Musée des Beaux-Arts,BORDEAUX,France,fr,open,2007,payant:27180;gratuit:58243;total:85423;mdf-date:06/01/2002,label:musee de france
3306701,,Musée de la Voiture à Cheval,BOURG-SUR-GIRONDE,France,fr,open,2007,payant:2140;gratuit:574;total:2714;mdf-date:01/02/2003,label:musee de france
3339401,,Musée d'Histoire et d'Archéologique,SAINT-EMILION,France,fr,closed,2007,payant:0;gratuit:0;total:;mdf-date:01/02/2003,label:musee de france
4700101,,Musée des Beaux-Arts,AGEN,France,fr,open,2007,payant:8147;gratuit:9502;total:17649;mdf-date:01/02/2003,label:musee de france
4719501,,Musée du Château Henri IV,NERAC,France,fr,open,2007,payant:16709;gratuit:4156;total:20865;mdf-date:01/02/2003,label:musee de france
6410202,,Musée Bonnat,BAYONNE,France,fr,open,2007,payant:14157;gratuit:14805;total:28962;mdf-date:01/02/2003,label:musee de france
0327501,,Musée Municipal de Souvigny,SOUVIGNY,France,fr,open,2007,payant:5123;gratuit:2168;total:7291;mdf-date:01/02/2003,label:musee de france
1501402,,Musée d'Art et d'Archéologie,AURILLAC,France,fr,open,2007,payant:1331;gratuit:21337;total:22668;mdf-date:01/02/2003,label:musee de france
1518701,,Musée de la Haute Auvergne,SAINT-FLOUR,France,fr,open,2007,payant:2879;gratuit:1046;total:3925;mdf-date:01/02/2003,label:musee de france
4311701,,Musée des Arts et Traditions Populaires de Haute Loire,LAVAUDIEU,France,fr,open,2007,payant:14376;gratuit:453;total:14829;mdf-date:01/02/2003,label:musee de france
4316201,,Musée des Manufactures de Dentelles,RETOURNAC,France,fr,open,2007,payant:2838;gratuit:1746;total:4584;mdf-date:22/04/2002,label:musee de france
6301001,,Musée de la Dentelle,ARLANC,France,fr,open,2007,payant:1400;gratuit:106;total:1506;mdf-date:01/02/2003,label:musee de france
6311305,,Musée d'Art Roger-Quillot,CLERMONT-FERRAND,France,fr,open,2007,payant:6177;gratuit:29259;total:35436;mdf-date:01/02/2003,label:musee de france
6319501,,Musée Départemental de la Céramique Gallo-Romaine,LEZOUX,France,fr,open,2007,payant:18182;gratuit:6087;total:24269;mdf-date:01/02/2003,label:musee de france
