id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,email,year,stats,tags,description,wikidata,museofile,mhs
0105302,,Musée Départemental des Pays De l'Ain,,,,BOURG-EN-BRESSE,France,fr,open,,,,,,,2018,payant:0;gratuit:0;total:;mdf-date:01/02/2003,osm:museum;type:a classer;label:musee de france,,,,
0119201,1357668479,Musée Archéologique,,Place de l'Église,01580,Izernore,France,fr,open,46.220134,5.5548124,,,,,2018,payant:1644;gratuit:2174;total:3818;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
0128301,1536396604,Musée du Peigne et de la Plasturgie,,Rue Capitaine Montreal,01100,Veyziat,France,fr,open,46.2607789,5.6465246,,,,,2018,payant:1509;gratuit:2397;total:3906;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
0319002,,Centre National du Costume de Scène et de la Scénographie,,,,MOULINS,France,fr,open,,,,,,,2018,payant:72733;gratuit:21431;total:94164;mdf-date:23/10/2009,osm:museum;type:a classer;label:musee de france,,,,
0701001,4424167099,Musée Vivarois César Filhol,15,Rue Jean-Baptiste Bechetoille,07100,Annonay,France,fr,closed,45.2408002,4.6680351,,,,,2018,payant:0;gratuit:0;total:;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
0731601,68332777,Musée Archéologique,,Rue des Ruines,07130,Soyons,France,fr,open,44.8879269,4.850776295600438,https://www.soyons.fr/le-musee,,,,2018,payant:12670;gratuit:2040;total:14710;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
7428102,5537445278,Musée du Chablais,2,Rue Michaud,74200,Thonon-les-Bains,France,fr,open,46.3735929,6.4782107,,,,,2018,payant:1179;gratuit:1656;total:2835;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
3819101,,Musée d'Huez et de l'Oisans,,,,ALPE D'HUEZ,France,fr,open,,,,,,,2018,payant:0;gratuit:6949;total:6949;mdf-date:01/02/2003,osm:museum;type:a classer;label:musee de france,,,,
3818508,35081222,Musée de la Résistance de la Déportation de l'Isère,,Rue Hébert,38000,Grenoble,France,fr,open,45.19011945,5.735202775033237,,,,,2018,payant:0;gratuit:36163;total:36163;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
3818507,2388638743,Musée Stendhal,20,Grande Rue,38000,Grenoble,France,fr,open,45.1915799,5.7281471,,,,,2018,payant:451;gratuit:4112;total:4563;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
3818502,1102624,Musée Dauphinois,30,Rue Maurice Gignoux,38031,Grenoble,France,fr,open,45.19514890000001,5.727071788552173,,,,,2018,payant:0;gratuit:84194;total:84194;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
3819001,1869973658,Musée-Maison du Patrimoine,,Montée de la Cure,38118,Hières-sur-Amby,France,fr,open,45.7970511,5.2932086,http://www.musee-larina-hieres.com/,+33 4 74 95 19 10,,,2018,payant:7598;gratuit:1122;total:8720;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,M0999,
4221804,49047701,Musée de la Mine / Site Couriot,3,Boulevard Maréchal Franchet d'Espèrey,69400,Saint-Étienne,France,fr,open,45.4382508,4.376131713032282,,,,,2018,payant:30551;gratuit:23101;total:53652;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
4221802,63340891,Musée d'Art et d'Industrie,2,Place Louis Comte,42000,Saint-Étienne,France,fr,open,45.4314634,4.386849541030928,,,,,2018,payant:16545;gratuit:14659;total:31204;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
4227901,2471969138,Musée des Civilisations : Daniel Pouget,,Square de la Résistance,42170,Saint-Just-Saint-Rambert,France,fr,open,45.5008625,4.2426518,,,,,2018,payant:3926;gratuit:1992;total:5918;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,,
4231801,,Musée Rural,,,,USSON-EN-FOREZ,France,fr,open,,,,,,,2018,payant:2985;gratuit:1444;total:4429;mdf-date:01/02/2003,osm:museum;type:a classer;label:musee de france,,,,
6311301,67015490,Musée d'Art Roger Quilliot,,Place Louis Deteix,63100,Clermont-Ferrand,France,fr,open,45.79392705,3.1162223146769588,https://www.clermontmetropole.eu/bouger-se-divertir/le-dynamisme-culturel/les-musees-de-clermont-auvergne-metropole/marq-musee-dart-roger-quilliot/,+33 4 43 76 25 25,,,2018,payant:3096;gratuit:19947;total:23043;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,Q1495869,M0121,
6324701,,Musée des Peintres de l'Ecole de Murols,,,,MUROL,France,fr,open,,,,,,,2018,payant:3635;gratuit:130;total:3765;mdf-date:01/02/2003,osm:museum;type:a classer;label:musee de france,,,,
6900601,312877023,Musée Barthélemy-Thimonnier,,Rue du Nord,69550,Amplepuis,France,fr,open,45.9729166,4.3306812,,,,,2018,payant:1604;gratuit:1679;total:3283;mdf-date:10/05/2005,osm:museum;type:museum;label:musee de france,,,,
6901801,1788408922,Musée des Traditions Populaires Marius Audin,62,Place de l'Hôtel de Ville,69430,Beaujeu,France,fr,open,46.154402,4.5870811,,+33 4 74 69 22 88,,,2018,payant:454;gratuit:494;total:948;mdf-date:01/02/2003,osm:museum;type:museum;label:musee de france,,,M1030,
