ref_musee;nom_du_musee;regions;ville;annee;departements;date_appellation;payant;gratuit;total;note;commentaire
8212102;Musée Ingres;MIDI-PYRENEES;MONTAUBAN;2009;TARN-ET-GARONNE;06/01/2002;25548;32024;57572;;
5901401;Musée Théophile Jouglet;NORD-PAS-DE-CALAIS;ANZIN;2009;NORD;01/02/2003;0;2014;2014;;
5906701;Musée du Mont-de-Piété;NORD-PAS-DE-CALAIS;BERGUES;2009;NORD;01/02/2003;1409;925;2334;;
5917201;Musée d'Archéologie et d'Histoire Locale;NORD-PAS-DE-CALAIS;DENAIN;2009;NORD;01/02/2003;0;2600;2600;;
5927301;Musée du Dessin et de l'Estampe Originale;NORD-PAS-DE-CALAIS;GRAVELINES;2009;NORD;01/02/2003;2213;7938;10151;;
5939201;Musée Henri Boez;NORD-PAS-DE-CALAIS;MAUBEUGE;2009;NORD;01/02/2003;;;;F;
5955501;Musée du Verre;NORD-PAS-DE-CALAIS;SARS-POTERIES;2009;NORD;01/02/2003;3760;6998;10758;;
5959901;Musée d'Art et d'Industrie;NORD-PAS-DE-CALAIS;TOURCOING;2009;NORD;01/02/2003;0;39900;39900;;
5960601;Musée des Beaux-Arts;NORD-PAS-DE-CALAIS;VALENCIENNES;2009;NORD;06/01/2002;39238;0;39238;;
6210801;Musée Communautaire Opale-Sud;NORD-PAS-DE-CALAIS;BERCK-SUR-MER;2009;PAS-DE-CALAIS;05/04/2002;2757;7149;9906;;
6219301;Musée des Beaux-Arts et de la Dentelle;NORD-PAS-DE-CALAIS;CALAIS;2009;PAS-DE-CALAIS;01/02/2003;1911;12462;14373;;
6231801;Musée Quentovic;NORD-PAS-DE-CALAIS;ETAPLES-SUR-MER;2009;PAS-DE-CALAIS;01/02/2003;2277;464;2741;;
1411801;Musée des Beaux-Arts;BASSE-NORMANDIE;CAEN;2009;CALVADOS;06/01/2002;5556;56653;62209;;
5011001;Musée de l'Abbaye;BASSE-NORMANDIE;CERISY-LA-FORET;2009;MANCHE;01/02/2003;5750;1028;6778;;
5012902;Musée Thomas Henry;BASSE-NORMANDIE;CHERBOURG-EN-COTENTIN;2009;MANCHE;01/02/2003;0;30554;30554;;
5017301;Musée Municipal;BASSE-NORMANDIE;EQUEURDREVILLLE-HAINNEVILLE;2009;MANCHE;01/02/2003;0;2920;2920;;
5050203;Musée du Bocage Normand, ferme du bois Jugan;BASSE-NORMANDIE;SAINT-LO;2009;MANCHE;01/02/2003;2370;3801;6171;;
5056201;Musée Maritime de l'Ile de Tatihou;BASSE-NORMANDIE;SAINT-VAAST-LA-HOUGUE;2009;MANCHE;01/02/2003;55919;5032;60951;;
5061501;Musée Régional du Cidre et du Calvados;BASSE-NORMANDIE;VALOGNES;2009;MANCHE;01/02/2003;6190;1265;7455;;
5063901;Musée de la Poeslerie;BASSE-NORMANDIE;VILLEDIEU-LES-POELES-ROUFFIGNY;2009;MANCHE;01/02/2003;10397;676;11073;;
6146401;Musée Départemental d'Art Sacré;BASSE-NORMANDIE;SEES;2009;ORNE;01/02/2003;768;0;768;;
2722901;Musée de l'Ancien Evêché;HAUTE-NORMANDIE;EVREUX;2009;EURE;01/02/2003;0;19499;19499;;
7605701;Musée Municipal;HAUTE-NORMANDIE;BARENTIN;2009;SEINE-MARITIME;01/02/2003;;;;F;
7615701;Pavillon Flaubert;HAUTE-NORMANDIE;CANTELEU;2009;SEINE-MARITIME;01/02/2003;0;827;827;;
7616401;Museoseine;HAUTE-NORMANDIE;CAUDEBEC-EN-CAUX;2009;SEINE-MARITIME;01/02/2003;2836;1310;4146;;
7625902;Musée des Arts & de l'Enfance;HAUTE-NORMANDIE;FECAMP;2009;SEINE-MARITIME;01/02/2003;;;;F;
7638401;Juliobona, Musée Gallo-Romain de Lillebonne;HAUTE-NORMANDIE;LILLEBONNE;2009;SEINE-MARITIME;01/02/2003;391;1626;2017;;
7645201;Musée des Sapeurs-Pompiers de France;HAUTE-NORMANDIE;MONTVILLE;2009;SEINE-MARITIME;01/02/2003;6537;1458;7995;;
7646201;Musée Mathon-Durand;HAUTE-NORMANDIE;NEUFCHATEL-EN-BRAY;2009;SEINE-MARITIME;01/02/2003;485;2033;2518;;
7647301;Ecomusée de la Basse-Seine;HAUTE-NORMANDIE;NOTRE-DAME-DE-BLIQUETUIT;2009;SEINE-MARITIME;01/02/2003;17752;3255;21007;;
7647401;Musée Industriel de la Corderie Vallois;HAUTE-NORMANDIE;NOTRE-DAME-DE-BONDEVILLE;2009;SEINE-MARITIME;01/02/2003;2155;7636;9791;;
7654002;MUNAE - Musée National de l'Education;HAUTE-NORMANDIE;ROUEN;2009;SEINE-MARITIME;06/01/2002;2587;10627;13214;;
4900708;Muséum des Sciences Naturelles;PAYS DE LA LOIRE;ANGERS;2009;MAINE-ET-LOIRE;01/02/2003;3228;12797;16025;;
4900703;Musée Jean Lurcat et de la Tapisserie Contemporaine;PAYS DE LA LOIRE;ANGERS;2009;MAINE-ET-LOIRE;01/02/2003;16982;42214;59196;;
4909904;Musée du Textile;PAYS DE LA LOIRE;CHOLET;2009;MAINE-ET-LOIRE;06/04/2002;5440;9047;14487;;
5306201;Musée d'Art et d'Archéologie Hôtel Fouquet;PAYS DE LA LOIRE;CHATEAU-GONTIER;2009;MAYENNE;01/02/2003;;;;F;
7218199;Musée Vert Véron-de-Forbonnais;PAYS DE LA LOIRE;LE MANS;2009;SARTHE;01/02/2003;19438;0;19438;;
8501201;Ecomusée du Marais Breton Vendéen;PAYS DE LA LOIRE;LA BARRE-DE-MONTS;2009;VENDEE;01/02/2003;20706;8427;29133;;
8515401;Musée Clemenceau et de Lattre-de-Tassigny;PAYS DE LA LOIRE;MOUILLERON-EN-PAREDS;2009;VENDEE;06/01/2002;1546;4235;5781;;
8516302;Musée du Château;PAYS DE LA LOIRE;NOIRMOUTIER-EN-L'ILE;2009;VENDEE;01/02/2003;36996;5109;42105;;
0230401;Musée Jeanne d'Aboville;PICARDIE;LA FERE;2009;AISNE;01/02/2003;173;163;336;;
0257401;Musée Monseigneur Pigneau de Behaine;PICARDIE;ORIGNY-EN-THIERACHE;2009;AISNE;01/02/2003;;;;F;
0268401;Musée de la Vie Rurale et Forestière;PICARDIE;SAINT-MICHEL-EN-THIERACHE;2009;AISNE;01/02/2003;;;;F;
0278901;Musée de La Thiérache;PICARDIE;VERVINS;2009;AISNE;01/02/2003;0;1932;1932;;
6015904;Musée Antoine Vivenel;PICARDIE;COMPIEGNE;2009;OISE;01/02/2003;1631;10065;11696;;
6061203;Musée de la Vénerie;PICARDIE;SENLIS;2009;OISE;01/02/2003;9052;6771;15823;;
8002103;Muséum d'histoire naturelle;PICARDIE;AMIENS;2009;SOMME;01/02/2003;;;;F;
1601504;Cité International de la Bande Dessinée et de l'Image - Musée de la Bande Dessinée;POITOU-CHARENTES;ANGOULEME;2009;CHARENTE;01/02/2003;11885;36077;47962;;
1715301;Musée de la Mytiliculture;POITOU-CHARENTES;ESNANDES;2009;CHARENTE-MARITIME;01/02/2003;4523;63;4586;;
1729903;Hôtel Hèbre de Saint-Clément - Musée d'Art et d'Histoire;POITOU-CHARENTES;ROCHEFORT;2009;CHARENTE-MARITIME;28/03/2002;3183;17200;20383;;
1738501;Musée de l'Ile d'Oléron;POITOU-CHARENTES;ST-PIERRE D'OLERON;2009;CHARENTE-MARITIME;01/02/2003;10630;2930;13560;;
