ref_musee;nom_du_musee;regions;ville;annee;departements;date_appellation;payant;gratuit;total;note;commentaire
7127001;Musée des Ursulines;BOURGOGNE;MACON;2009;SAONE ET LOIRE;01/02/2003;1797;15626;17423;;
7510808;Petit Palais, Musée des Beaux-Arts de la ville de Paris;ILE-DE-FRANCE;PARIS;2005;PARIS;08/07/2004;0;90213;90213;;
7135101;Ecomusée de la Bresse Bourguignonne;BOURGOGNE;PIERRE-DE-BRESSE;2009;SAONE ET LOIRE;01/02/2003;21312;18470;39782;;
7510905;Musée de la Vie Romantique;ILE-DE-FRANCE;PARIS;2005;PARIS;08/07/2004;37989;23566;61555;;
7152601;Musée Départemental de Préhistoire de Solutré;BOURGOGNE;SOLUTRE-POUILLY;2009;SAONE ET LOIRE;01/02/2003;17567;16358;33925;;
7510802;Musée de la Musique;ILE-DE-FRANCE;PARIS;2005;PARIS;06/01/2002;98082;21374;119456;;
7154301;Hôtel Dieu - Musée Greuze;BOURGOGNE;TOURNUS;2009;SAONE ET LOIRE;01/02/2003;8119;2248;10367;;
7511603;Etablissement Public du Musée des Arts Asiatiques Guimet;ILE-DE-FRANCE;PARIS;2005;PARIS;06/01/2002;189080;124369;313449;;
8902402;Musée d'Art et d'Histoire;BOURGOGNE;AUXERRE;2009;YONNE;01/02/2003;8802;20860;29662;;
7510807;Musée Cernuschi, Musée des Arts de l'Asie de la ville de Paris;ILE-DE-FRANCE;PARIS;2005;PARIS;08/07/2004;31655;56801;88456;;
8902501;Musée de l'Avallonnais Jean Després;BOURGOGNE;AVALLON;2009;YONNE;01/02/2003;0;7856;7856;;
7511001;Musée de la Publicité (Union Centrale des Arts Décoratifs);ILE-DE-FRANCE;PARIS;2005;PARIS;06/01/2002;;;;;"7510102 ; 7510107 ; 7511001"
8946401;Musée Villeneuvien;BOURGOGNE;VILLENEUVE-SUR-YONNE;2009;YONNE;01/02/2003;0;2116;2116;;
7702201;Musée Départemental de l'Ecole de Barbizon - Auberge Ganne;ILE-DE-FRANCE;BARBIZON;2005;SEINE ET MARNE;01/02/2003;21590;2639;24229;;
2205001;Musée du Château de Dinan;BRETAGNE;DINAN;2009;COTES D'ARMOR;01/02/2003;15338;8368;23706;;
7718601;Musée du Château de Fontainebleau;ILE-DE-FRANCE;FONTAINEBLEAU;2005;SEINE ET MARNE;06/01/2002;212365;104353;316718;;
2904601;Le Port-Musée;BRETAGNE;DOUARNENEZ;2009;FINISTERE;01/02/2003;34784;9873;44657;;
7744501;Ecomusée;ILE-DE-FRANCE;SAVIGNY-LE-TEMPLE;2005;SEINE ET MARNE;01/02/2003;0;7589;7589;;
2922001;Musée Bigouden;BRETAGNE;PONT-L'ABBE;2009;FINISTERE;01/02/2003;11151;3495;14646;;
9301301;Musée de l'Air et de l'Espace;ILE-DE-FRANCE;LE BOURGET;2005;SEINE SAINT-DENIS;06/01/2002;187330;47960;235290;;
2923202;Musée Départemental Breton;BRETAGNE;QUIMPER;2009;FINISTERE;01/02/2003;24734;17711;42445;;
9304601;Musée Municipal;ILE-DE-FRANCE;LIVRY-GARGAN;2005;SEINE SAINT-DENIS;01/02/2003;0;11255;11255;;
3518801;Ecomusée du Pays de Montfort;BRETAGNE;MONTFORT-SUR-MEU;2009;ILE ET VILAINE;01/02/2003;2969;1547;4516;;
9550002;Musée Camille Pissarro;ILE-DE-FRANCE;PONTOISE;2005;VAL D'OISE;01/02/2003;0;4409;4409;;
5618101;Musée National de la Marine;BRETAGNE;PORT-LOUIS;2009;MORBIHAN;01/02/2003;43431;30738;74169;;
9535101;Musée intercommunal d’histoire et d’archéologie de Louvres;ILE-DE-FRANCE;ROISSY-EN-FRANCE;2005;VAL D'OISE;01/02/2003;;;;F;
1803303;Musée du Berry;CENTRE;BOURGES;2009;CHER;01/02/2003;0;11479;11479;;
7835001;Musée Promenade Marly/Louveciennes;ILE-DE-FRANCE;LOUVECIENNES;2005;YVELINES;01/02/2003;7132;1907;9039;;
1819701;Musée Saint-Vic;CENTRE;SAINT-AMAND-MONTROND;2009;CHER;01/02/2003;814;3136;3950;;
7820801;Musée de la Ville;ILE-DE-FRANCE;MONTIGNY LE BRETONNEUX;2005;YVELINES;01/02/2003;7630;3131;10761;;
2805101;Musée Bonnevallais;CENTRE;BONNEVAL;2009;EURE ET LOIR;01/02/2003;;;;F;
7849801;Musée du Jouet Pierre Pinel;ILE-DE-FRANCE;POISSY;2005;YVELINES;01/02/2003;14536;3222;17758;;
2808504;Conservatoire du Machinisme et des Pratiques Agricoles;CENTRE;CHARTRES-MAINVILLIERS;2009;EURE ET LOIR;01/02/2003;7332;44290;51622;;
7851702;Musée Rambolitrain;ILE-DE-FRANCE;RAMBOUILLET;2005;YVELINES;01/02/2003;15017;1387;16404;;
2836301;Musée Farcot;CENTRE;SAINVILLE;2009;EURE ET LOIR;01/02/2003;;;;F;
