NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;REGION;DEPARTEMENT;coordonnees_finales
Atelier-Musée Louis Leygue;4115801;106, Rue des Venages;41100;NAVEIL;254772613;254894358;;;Ouvert quatre après-midi dans l'année (2 en juillet et  2 en août). Permanence assurée par le personnel du musée Vendôme;;01/02/2003;;CENTRE-VAL DE LOIRE;LOIR ET CHER;47.794146,1.031198
Musée de Givet;819001;Mairie 11, Place Carnot;8600;GIVET;324420684;324420244;;;;;01/02/2003;;GRAND EST;ARDENNES;50.1133571937,4.82014456381
Musée Minéralogique de la Société Industrielle de Mulhouse;6822409;3, Avenue Alfred-Werner;68093;MULHOUSE;389336888;389336885;;;;;01/02/2003;;GRAND EST;HAUT-RHIN;
Muséum d'Histoire Naturelle;9720903;B.P. 4030;97254;FORT-DE-FRANCE;596706841;596514953;;;;;01/02/2003;;MARTINIQUE;MARTINIQUE;
Musée Municipal;4525201;Direction de l'action culturelle 5, Place Denis Poisson - B.P. 706;45307;PITHIVIERS;238300064;238300064;;;;;01/02/2003;;CENTRE-VAL DE LOIRE;LOIRET;
Musée Dunoyer de Segonzac;9109701;5, Place des Droits de l'Homme;91800;BOUSSY-SAINT-ANTOINE;;;;;;;01/02/2003;;ÎLE-DE-France;ESSONNE;48.688925,2.530019
Musée Sundgauvien d'Altkirch;6800401;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;389400194;389400194;;;Ouvert de septembre à juin le dimanche de 14h30 à 17h30, juillet-août du mardi au dimanche de 14h30 à 17h30. Lors des expositions temporaires du mardi au dimanche de 14h30 à 17h30;;01/02/2003;;GRAND EST;HAUT-RHIN;47.623329,7.237204
Musée-Aquarium;2452001;Site Bella-Riva;24100;CREYSSE;553232045;553232045;;;;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;44.85459,0.564772
Musée Municipal;1119401;Mairie;11600;LASTOURS;468775541;468775541;;;;;01/02/2003;;OCCITANIE;AUDE;43.333866,2.378874
Musée d'Histoire et d'Archéologie de Vannes;5626002;Château Gaillard 2, Rue Noé;56000;VANNES;297016300;297016301;;Octobre à mars;Ouvert du 1er juin au 30 septembre tous les jours de 13h30 à 18h;;01/02/2003;;BRETAGNE;MORBIHAN;47.6598173381,-2.75698478615
Musée de Géologie Régionale;3609201;;36600;LANGE;254000442;254408009;;;;;01/02/2003;;CENTRE-VAL DE LOIRE;INDRE;47.073893,1.513405
Musée Municipal;3354701;Maison Braneyre Impasse Dupeyron;33730;VILLANDRAUT;556253141;;;;;;01/02/2003;;NOUVELLE-AQUITAINE;GIRONDE;44.457128,-0.373182
Musée Heurteloup-Chevalier;7207101;;72500;CHATEAU-DU-LOIR;;;;;;;01/02/2003;;PAYS DE LA LOIRE;SARTHE;47.682245,0.420163
Musée l'Herminier;9712003;Office du Tourisme 1 Centre Commercial Marina;97110;POINTE-A-PITRE;590820930;590838922;;;;;01/02/2003;;GUADELOUPE;GUADELOUPE;16.2380667496,-61.5355740279
Musée Monseigneur Pigneau de Behaine;257401;Rue du Musée;2550;ORIGNY-EN-THIERACHE;323913110;323913111;;;Uniquement sur rendez-vous. Ouvert à l'occasion de la nuit des musees et durant les journees europeennes du patrimoine;;01/02/2003;;HAUTS-DE-France;AISNE;49.89599,4.022348
Musée de la Société des Antiquaires;1411805;;14000;CAEN;;;;;;;01/02/2003;;NORMANDIE;CALVADOS;49.181339,-0.370637
Musée Archéologique;3415801;Place du Monument aux Morts;34210;MINERVE;468912292;468912292;;Décembre, janvier et 22 jours en février;Ouvert tous les jours de 10h à 13h et de 14h à 18h du 1er mars à mi-novembre;;01/02/2003;;OCCITANIE;HERAULT;43.354336,2.746215
Musée Philippe de Girard;8406801;Hötel de ville;84160;LOUMARIN - CADENET;490680413;;;;;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.743816,5.364898
Musée Paul Reclus;2415201;Place de la Halle;24250;DOMME;553317100;553317109;;;Ouvert tous les jours d'avril à juin et septembre de 10h30 à 12h30 et de 14h30 à 18h, en juillet-août de 10h30 à 19h;;01/02/2003;;NOUVELLE-AQUITAINE;DORDOGNE;44.803032,1.214171
Musée de la Sidérurgie Grande Forge;2111401;La Grande Forge;21500;BUFFON;380921035;380924164;;;;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.649672,4.260959
Musée des arts et traditions populaires;8211202;4, Rue de l'Abbaye;82200;MOISSAC;563046363;563046364;;;Ouvert d'avril à juin et de septembre à octobre du mardi au dimanche  de 10h à 12h et de 14h à 17h, en  juillet-août tous les jours de 10h à 13h et de 14h à 18h;;01/02/2003;;OCCITANIE;TARN-ET-GARONNE;44.105697,1.085296
Musée Municipal d'archéologie;1220301;Rue Saint-Pierre;12250;ROQUEFORT-SUR-SOULZON;565599195;565599516;;;;;01/02/2003;;OCCITANIE;AVEYRON;43.975028,2.99165
Musée Agathois;3400301;5 rue de la Fraternité;34300;AGDE;467948251;467010314;;24 décembre au 2 janvier, jours fériés;Ouvert de septembre à juin du mardi au samedi de 9h à 12h et de 14h à 17h30 en juillet-août du mardi au samedi de 10h à 17h;;01/02/2003;;OCCITANIE;HERAULT;43.311837,3.468587
