osm_id,name,name:en,int_name,old_name,old_name:en,number,street,postal_code,city,country,country_code,lat,lon,website,phone,fax,tags,description,date_added,wikidata
,,,,,,,,,,,,,,,,,,,,
21662047,,,,,,,,75005,Paris,France,fr,48.8487679,2.3593826,,,,osm:museum,,2016-12-01T19:10:24Z,
21662048,,,,,,,,75004,Paris,France,fr,48.8491155,2.3588494,,,,osm:museum,,2016-12-01T19:10:24Z,
21662049,,,,,,,,75004,Paris,France,fr,48.8494261,2.3578865,,,,osm:museum,,2010-09-20T19:39:32Z,
21662510,,,,,,,,75004,Paris,France,fr,48.84721,2.3618297,,,,,,2016-12-12T17:14:41Z,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
21662512,,,,,,,,75004,Paris,France,fr,48.8459401,2.3633236,,,,osm:museum,,2015-08-16T18:29:03Z,
26131828,,,,,,,,69007,Lyon,France,fr,45.7464306,4.8359519,,,,,,2021-02-05T14:42:15Z,
,Centre d'Histoire de la Résistance et de la Déportation,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,+33 4 78 72 23 11,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://www.chrd.lyon.fr,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Q8348
,,,,,,,,,,,,,,,,,osm:museum,,,
26132177,Musée Africain,,,,,,,,Lyon,France,fr,45.7499594,4.8577773,,,,,,2020-01-21T11:26:12Z,
,,,,,,,,,,,,,,,+33 4 78 61 60 98,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,http://www.musee-africain-lyon.org/,,,,,,
,,,,,,,,,,,,,,,,,,,,Q9494
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,osm:museum,,,
